work_type_code,work_type_name_ru,family_code,family_name_ru,family_sort,is_active,ui_source
WT-PLMB-SHOWER,Сантехника: душ/смеситель (точка),plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLMB-SINK,Сантехника: раковина,plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLMB-WM,Сантехника: стиральная/посудомоечная машина,plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLMB-TOILET,Сантехника: унитаз,plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLMB,Сантехника/трубопроводы,plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-BATH,Санузел / Ванная (комплект),plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
ind_piping,Трубопроводы,plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-HVAC,Вентиляция/кондиционирование,hvac,Вентиляция,120,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
ind_steel,Металлоконструкции,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-GATE-SLIDE,Металлоконструкции: ворота откатные,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-GATE-OVERHEAD,Металлоконструкции: ворота подъемные (секционные),metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-GATE-SWING,Металлоконструкции: ворота распашные,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-PRIME,Металлоконструкции: грунтование,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-FENCE-PROF,Металлоконструкции: забор из профлиста,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-FENCE-MESH,Металлоконструкции: забор из сетки,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-STAIR,Металлоконструкции: лестница (металл),metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-RAILING,Металлоконструкции: перила/ограждения,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-TRUSS-LIGHT,Металлоконструкции: ферма (облегчённая),metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-TRUSS-HEAVY,Металлоконструкции: ферма (усиленная),metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-PAINT,Окраска металлоконструкций,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-CUT,Резка металла,metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-STEEL-WELD-MIG-A4,"Сварка MIG/MAG, катет a=4 мм",metal,Металлоконструкции / ограждения / каркасы,130,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
